CountryName,Population
Afghanistan,38928346
Albania,2877797
Algeria,43851044
Andorra,77265
Angola,32866272
Argentina,45195774
Aruba,106766
Australia,25499884
Austria,9006398
Azerbaijan,10127874
Bahamas,385637
Bahrain,1701575
Bangladesh,164689383
Barbados,287375
Belarus,9408400
Belgium,11589623
Belize,397628
Benin,12114193
Bermuda,62278
Bhutan,748931
Bolivia,11673021
Bosnia and Herzegovina,3280819
Botswana,2351627
Brazil,212559417
Brunei,437479
Bulgaria,6948445
Burkina Faso,20903273
Burundi,11890784
Cambodia,15288489
Cameroon,26545863
Canada,37742154
Cape Verde,556857
Central African Republic,5633412
Chad,16425864
Chile,19116201
China,1439323776
Colombia,50882891
Comoros,758316
Congo,5518092
Costa Rica,5094118
Cote d'Ivoire,26453542
Croatia,4105267
Cuba,11326616
Cyprus,875900
Czech Republic,10708981
Democratic Republic of Congo,89561403
Denmark,5792202
Djibouti,988000
Dominica,71808
Dominican Republic,10847910
Ecuador,17643054
Egypt,102334404
El Salvador,6486205
Eritrea,3546000
Estonia,1326535
Eswatini,1160164
Ethiopia,100829000
Faeroe Islands,52756
Fiji,889327
Finland,5540720
France,65273511
Gabon,2176766
Gambia,2416668
Georgia,3716858
Germany,83783942
Ghana,31072940
Greece,10423054
Greenland,56367
Guam,168775
Guatemala,17915568
Guinea,12559623
Guyana,786552
Haiti,11743017
Honduras,9904607
Hong Kong,7496981
Hungary,9660351
Iceland,341243
India,1380004385
Indonesia,273523615
Iran,83992949
Iraq,40222493
Ireland,4937786
Israel,8655535
Italy,60461826
Jamaica,2734093
Japan,126476461
Jordan,10203134
Kazakhstan,18776707
Kenya,53771296
Kosovo,1845000
Kuwait,4270571
Kyrgyz Republic,6316000
Laos,7275560
Latvia,1897100
Lebanon,6825445
Lesotho,2142249
Liberia,4568298
Libya,6871287
Lithuania,2794870
Luxembourg,625978
Macao,649335
Madagascar,27691018
Malawi,19129952
Malaysia,32365999
Mali,20250833
Mauritania,4649658
Mauritius,1271768
Mexico,128932753
Moldova,2640438
Monaco,38100
Mongolia,3278290
Morocco,36910560
Mozambique,31255435
Myanmar,54409800
Namibia,2540905
Nepal,29996478
Netherlands,17134872
New Zealand,4822233
Nicaragua,6624554
Niger,24206644
Nigeria,206139589
Norway,5421241
Oman,5106626
Pakistan,220892340
Palestine,5101152
Panama,4314767
Papua New Guinea,8947024
Paraguay,7132538
Peru,32971854
Philippines,109581078
Poland,37846611
Portugal,10196709
Puerto Rico,2860853
Qatar,2881053
Romania,19237691
Russia,145934462
Rwanda,12952218
San Marino,33640
Saudi Arabia,34813871
Senegal,16705608
Serbia,8737371
Seychelles,98347
Sierra Leone,7976983
Singapore,5850342
Slovak Republic,5459642
Slovenia,2078938
Solomon Islands,721455
Somalia,15893219
South Africa,59308690
South Korea,51269185
South Sudan,11193725
Spain,46754778
Sri Lanka,21413249
Sudan,43849260
Suriname,590100
Sweden,10099265
Switzerland,8654622
Syria,17500658
Taiwan,23816775
Tajikistan,9313800
Tanzania,59734218
Thailand,69799978
Timor-Leste,1299412
Togo,7706000
Trinidad and Tobago,1399488
Tunisia,11818619
Turkey,84339067
Uganda,45741007
Ukraine,43733762
United Arab Emirates,9890402
United Kingdom,67886011
United States,331002651
Uruguay,3473730
Uzbekistan,33469203
Vanuatu,304500
Venezuela,28435940
Vietnam,97338579
Yemen,29825968
Zambia,18383955
Zimbabwe,14862924
